size,instance,algorithm,time_taken,steps,computational_cost,best_energy,time_to_best,min_energy,median_energy,success_probability,standard_deviation,residual_energy
10,47,Genetic Algorithm,0.3835645089998252,120.0,24200.0,1458.0,0.05753467634997378,1458.0,1501.0,0.0,22.222511109233356,34.0
10,47,Tabu Search,0.11073127100007696,180.0,40500.0,1424.0,0.015010238957788209,1424.0,1436.0,0.2,21.945386758952324,0.0
10,48,QAP Objective,2.7332999707141425e-05,1.0,5.0,1937.0,0.0,1937.0,1937.0,0.0,0.0,318.0
10,48,Simulated Annealing,0.262312318000113,4500.0,22500.0,1623.0,0.007974294467203437,1623.0,1676.0,0.0,32.47768464653846,4.0
10,48,Genetic Algorithm,0.38527792400009275,120.0,24200.0,1635.0,0.048801870373345074,1635.0,1645.0,0.0,24.432764886520722,16.0
10,48,Tabu Search,0.09968621999996685,180.0,40500.0,1619.0,0.009193284733330278,1619.0,1623.0,0.2,6.499230723708768,0.0
10,49,QAP Objective,2.6916000024357345e-05,1.0,5.0,1695.0,0.0,1695.0,1695.0,0.0,0.0,296.0
10,49,Simulated Annealing,0.26321308400019916,4500.0,22500.0,1427.0,0.01097306101298608,1427.0,1449.0,0.0,12.687001221722964,28.0
10,49,Genetic Algorithm,0.38368902899992463,120.0,24200.0,1434.0,0.0549954274899892,1434.0,1466.0,0.0,20.981896959045432,35.0
10,49,Tabu Search,0.12339302500004123,180.0,40500.0,1399.0,0.023855984833341306,1399.0,1399.0,0.6,12.026637102698327,0.0
10,50,QAP Objective,2.793000021483749e-05,1.0,5.0,1964.0,0.0,1964.0,1964.0,0.0,0.0,348.0
10,50,Simulated Annealing,0.2641724489999433,4500.0,22500.0,1625.0,0.008453518367998186,1625.0,1680.0,0.0,26.469605210505122,9.0
